n	num	area	avg_vel	std_vel	max_vel	avg_x	avg_y	std_x	std_y	max_x	max_y	num1	num2	num3	num4	num5
0	1198	174693.0	2.31	0.12	11.37	0.29	1.71	0.1	0.12	5.7	11.34	495	395	229	45	34
1	1024	166278.0	2.21	0.12	9.25	0.43	1.54	0.11	0.12	4.59	9.24	391	356	198	49	30
2	1092	168986.0	2.17	0.12	9.39	0.41	1.47	0.1	0.12	4.01	9.38	449	362	202	47	32
3	1103	168800.0	2.2	0.12	9.51	0.5	1.45	0.1	0.12	5.77	9.49	444	369	216	42	32
4	1173	181816.0	2.32	0.12	9.51	0.33	1.73	0.1	0.12	4.93	9.47	489	394	210	38	42
5	1005	169492.0	2.22	0.12	9.31	0.39	1.48	0.11	0.13	4.68	8.97	372	345	213	43	32
6	976	167993.0	2.23	0.12	9.96	0.48	1.46	0.1	0.12	4.74	9.93	379	345	175	41	36
7	1037	170286.0	2.18	0.12	10.66	0.54	1.39	0.1	0.12	5.44	10.65	404	359	205	38	31
8	1057	172505.0	2.2	0.12	9.43	0.47	1.59	0.1	0.12	4.63	9.42	429	342	216	36	34
9	1003	162031.0	2.21	0.12	9.89	0.3	1.57	0.1	0.12	4.35	9.89	413	349	177	37	27
10	1042	170565.0	2.14	0.12	9.61	0.49	1.53	0.1	0.12	9.01	9.31	411	358	203	35	35
11	947	159303.0	2.13	0.12	7.42	0.44	1.41	0.11	0.12	4.23	7.42	375	308	200	31	33
12	1002	177603.0	2.25	0.13	10.03	0.53	1.63	0.11	0.13	5.23	10.02	379	327	221	43	32
13	945	159329.0	2.2	0.12	8.82	0.55	1.46	0.1	0.12	5.68	8.74	346	357	174	37	31
14	894	159043.0	2.11	0.12	9.06	0.46	1.46	0.11	0.12	5.04	8.99	340	305	187	27	35
15	888	153382.0	2.19	0.12	8.54	0.55	1.51	0.11	0.12	7.05	8.44	343	290	191	36	28
16	1033	169618.0	2.17	0.12	10.24	0.41	1.65	0.1	0.12	4.78	9.98	419	332	219	39	24
17	861	153790.0	2.21	0.12	7.57	0.66	1.48	0.11	0.13	5.33	7.12	326	293	184	36	22
